the,a
of,de
and,e
to,para
in,dentro
i,eu
that,naquela
was,foi
his,seu
he,ele
it,isto
with,com
is,é
for,por
as,Como
had,teve
you,vocês
not,não
be,ser
her,dela
on,sobre
at,no
by,por
which,que
have,ter
or,ou
from,a partir de
this,isto
him,ele
but,mas
all,tudo
she,ela
they,elas
were,estavam
my,minha
are,são
me,Eu
one,1
their,seus
so,assim
an,um
said,disse
them,eles
we,nós
who,Who
would,seria
been,fui
will,vai
no,não
when,quando
there,lá
if,E se
more,mais
out,Fora
up,acima
into,em
do,Faz
any,qualquer
your,sua
what,que
has,tem
man,cara
could,poderia
other,de outros
than,que
our,nosso
some,algum
very,muito
time,Tempo
upon,sobre
about,cerca de
may,poderia
its,Está
only,só
now,agora
like,Como
little,pouco
then,então
can,posso
should,deve
made,feito
did,fez
us,nós
such,tal
a,uma
great,excelente
before,antes de
must,devo
two,dois
these,esses
see,Vejo
know,conhecer
over,sobre
much,Muito de
down,baixa
after,depois de
first,primeiro
Mr,Senhor
good,Boa
men,homens
own,ter
never,Nunca
most,a maioria
old,velho
shall,devem
day,dia
where,Onde
those,Essa
came,veio
come,venha
himself,ele mesmo
way,caminho
work,trabalhos
life,vida
without,sem
go,vai
make,faça
well,Nós vamos
through,Através dos
being,sendo
long,grandes
say,dizer
might,poderia
how,Como as
am,sou
too,também
even,até
def,def
again,novamente
many,muitos
back,costas
here,aqui
think,acho
every,todo
people,pessoas
went,fui
same,mesmo
last,durar
thought,pensamento
away,um jeito
under,debaixo
take,pegar
found,encontrado
hand,mão
eyes,olhos
still,ainda
place,Lugar, colocar
while,enquanto
just,somente
also,tb
young,jovem
yet,ainda
though,no entanto
against,contra
things,coisas
get,pegue
ever,sempre
give,dar
god,Deus
years,anos
off,fora
face,cara
nothing,nenhuma coisa
right,direito
once,uma vez
another,outro
left,deixou
part,papel
saw,viu
house,lar
world,mundo
head,cabeça
three,três
took,tomou
new,novo
love,amar
always,sempre
Mrs,Sra
put,colocar
night,noite
each,cada
king,Rei
between,entre
tell,contar
mind,mente
heart,coração
